row_index,confidence,Mfg_Part_Num,Part_Desc,BRAND_NAME,MANUFACTURER_NAME,Classpath,SHORT_DESC,INVOICE_DESC,invoice_chars,MOBILE_DESC,mobile_chars,review_reasons
956,0.284,TGI2-FA,TGI2-FA T-Glide Fence Indudtrial,,,,TGI2-FA T-Glide Fence Indudtrial,T-GLIDE FENCE INDUDTRIAL,24,"T-Glide Fence Indudtrial, TGI2-FA",33,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 33 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
985,0.284,T-90043,T-90043 Deep Medium Organizer,,,,T-90043 Deep Medium Organizer,DEEP MEDIUM ORGANIZER,21,"Deep Medium Organizer, T-90043",30,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 30 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
986,0.284,T-90059,T-90059 Low Profile Medium - Organizer,,,,T-90059 Profile Medium Organizer,PROFILE MEDIUM ORGANIZER,24,"Profile Medium Organizer, T-90059",33,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 33 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
987,0.284,T-90065,T-90065 Deep Compact Organizer,,,,T-90065 Deep Compact Organizer,DEEP COMPACT ORGANIZER,22,"Deep Compact Organizer, T-90065",31,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 31 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
989,0.284,MAG:2044-230-1,2044-230-1 Stock Feeder 4-Roll - Steff,,,,MAG:2044-230-1 Feeder Roll Steff,FEEDER ROLL STEFF,17,"Feeder Roll Steff, MAG:2044-230-1",33,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 33 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
991,0.284,AAS-P,AAS-P Align-A-Saw Plate Only,,,,AAS-P Align-A-Saw Plate,ALIGN-A-SAW PLATE,17,"Align-A-Saw Plate, AAS-P",24,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 24 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
992,0.284,SSCMS,SSCMS Stealthstop Miter Sled,,,,SSCMS Stealthstop Miter Sled,STEALTHSTOP MITER SLED,22,"Stealthstop Miter Sled, SSCMS",29,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 29 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
925,0.284,794.321,794.321 HS Planer Knives 3pc,,,,794.321 Planer Knives Pc,PLANER KNIVES PC 3PC,20,"Planer Knives Pc, 794.321, 3 pc Pack Quantity",45,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 45 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
687,0.285,73002252,Black Gate Gravity Latch RDI,,,,"73002252 Gravity Latch RDI, Black",GRAVITY LATCH RDI BLK,21,"Gravity Latch RDI, 73002252, Black",34,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 34 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
742,0.285,5328,5328 Lg. Leather Phone Holster - Clip-on,,,,"5328 Phone Holster Clip-On, Leather",PHONE HOLSTER CLIP-ON LEATHER,29,"Phone Holster Clip-On, 5328, Leather",36,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 36 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
782,0.285,AVM6EV,AVM6 EV Mini Snip Red,,,,"AVM6EV Mini Snip Red, Red",MINI SNIP RED RED,17,"Mini Snip Red, AVM6EV, Red",26,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 26 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
783,0.285,AVM6EV,AVM7 EV Mini Snip Green,,,,"AVM6EV Mini Snip Green, Green",MINI SNIP GREEN GREEN,21,"Mini Snip Green, AVM6EV, Green",30,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 30 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
619,0.387,XOU2470BCGS,XOU2470BCGS Tall Beverage Center SS,,,,"XOU2470BCGS Beverage Center Stainless Steel, Stainless Steel",BEVERAGE CENTER SST SST,23,"Beverage Center Stainless Steel, XOU2470BCGS, Stainless Steel",61,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
620,0.387,XOU24BCGSR,XOU24BCGSR Beverage Center SS,,,,"XOU24BCGSR Beverage Center Stainless Steel, Stainless Steel",BEVERAGE CENTER SST SST,23,"Beverage Center Stainless Steel, XOU24BCGSR, Stainless Steel",60,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
627,0.387,C7CEBBS2RS3,C7CEBBS2RS3 Cafe Auto Espresso Machine SS,,,,"C7CEBBS2RS3 Espresso Machine Stainless Steel, Stainless Steel",ESPRESSO MACHINE SST SST,24,"Espresso Machine Stainless Steel, C7CEBBS2RS3, Stainless Steel",62,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
9,0.387,9A-570-240,9A-570-240 Abranet 2.75x30,,,,"9A-570-240 Abranet, 2-3/4 in Width, 30 in Length",ABRANET 2-3/4IN 30IN,20,"Abranet, 9A-570-240, 2-3/4 in Width, 30 in Length, 2-3/4 in x 30 in",67,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
10,0.387,9A-570-320,9A-570-320 Abranet 2.75x30,,,,"9A-570-320 Abranet, 2-3/4 in Width, 30 in Length",ABRANET 2-3/4IN 30IN,20,"Abranet, 9A-570-320, 2-3/4 in Width, 30 in Length, 2-3/4 in x 30 in",67,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
803,0.387,9A-219-180,9A-219-180 Abranet 4x6x6,,,,"9A-219-180 Abranet, 4 in Width, 6 in Length",ABRANET 4IN 6IN,15,"Abranet, 9A-219-180, 4 in Width, 6 in Length, 4 in x 6 in x 6 in",64,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
804,0.387,9A-219-120RP,9A-219-120RP Abranet 4x6x6,,,,"9A-219-120RP Abranet, 4 in Width, 6 in Length",ABRANET 4IN 6IN,15,"Abranet, 9A-219-120RP, 4 in Width, 6 in Length, 4 in x 6 in x 6 in",66,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
895,0.387,24-35M-320,"24-35M-320 Iridium Grip - 3.2"" x 5.2"" Grip",,,,"24-35M-320 Iridium Grip Grip, 3.2 in Width, 5.2 in Length",IRIDIUM GRIP GRIP 3.2IN 5.2IN,29,"Iridium Grip Grip, 24-35M-320, 3.2 in Width, 5.2 in Length, 3.2 in x 5.2 in",75,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
896,0.387,9A-129-120,9A-129-120 Abranet 3x4 - 50 Sheets/Box,,,,"9A-129-120 Abranet Sheets Box, 3 in Width, 4 in Length",ABRANET SHEETS BOX 3IN 4IN,26,"Abranet Sheets Box, 9A-129-120, 3 in Width, 4 in Length, 3 in x 4 in x 50 ft",76,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
110,0.43,73045031,Custom Finyline Wh Gate Rd - w/Black Alum Balusters,,,Building Materials & Millwork>Decking & Railing>Balusters,73045031 Baluster,BALUSTER,8,"Baluster, 73045031, Balusters, Decking",38,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 38 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description | classification was near-tied with Railing Systems (margin 0.02)"
89,0.433,TC5003BN,TC5003BN SQ Washer Bk,,,Appliances & Consumer Electronics>Laundry Appliances>Washers,"TC5003BN Washer, Black",WASHER BLK,10,"Washer, TC5003BN, Black, Washers, Large Appliances",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description | classification was near-tied with Layout & Measuring (margin 0.03)"
88,0.434,TV2000WN,TV2000WN SQ Elect Washer,,,Appliances & Consumer Electronics>Laundry Appliances>Washers,TV2000WN Washer,WASHER,6,"Washer, TV2000WN, Washers, Large Appliances",43,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 43 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description | classification was near-tied with Layout & Measuring (margin 0.03)"
104,0.508,73019602,Finyline Wh 6' Fl Rail Kit Rd - w/Black Alum Balusters,,,Building Materials & Millwork>Decking & Railing>Balusters,"73019602 Baluster, 6 ft Nominal Width",BALUSTER 6FT,12,"Baluster, 73019602, 6 ft Nominal Width, Balusters, Decking",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
105,0.508,73019651,Finyline Wh 8' Fl Rail Kit Rd - w/Black Alum Balusters,,,Building Materials & Millwork>Decking & Railing>Balusters,"73019651 Baluster, 8 ft Nominal Width",BALUSTER 8FT,12,"Baluster, 73019651, 8 ft Nominal Width, Balusters, Decking",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
106,0.508,73019516,Finyline Wh 10' Fl Rail Kit Rd - w/Black Alum Balusters,,,Building Materials & Millwork>Decking & Railing>Balusters,"73019516 Baluster, 10 ft Nominal Width",BALUSTER 10FT,13,"Baluster, 73019516, 10 ft Nominal Width, Balusters, Decking",59,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 59 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
292,0.508,73019598,Finyline Wh 6' Str Rail Kit Rd - w/Black Alum Balusters,,,Building Materials & Millwork>Decking & Railing>Balusters,"73019598 Baluster, 6 ft Nominal Width",BALUSTER 6FT,12,"Baluster, 73019598, 6 ft Nominal Width, Balusters, Decking",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
293,0.508,73019647,Finyline Wh 8' Str Rail Kit Rd - w/Black Alum Balusters,,,Building Materials & Millwork>Decking & Railing>Balusters,"73019647 Baluster, 8 ft Nominal Width",BALUSTER 8FT,12,"Baluster, 73019647, 8 ft Nominal Width, Balusters, Decking",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
702,0.513,TSDKAP218-G2,TSDKAP218-G2 Edge Safety - Khor Black Frame Polarized,,,Safety & Personal Protection>Eye Protection>Safety Glasses,"TSDKAP218-G2 Safety Glasses, Black",SAFETY GLASSES BLK,18,"Safety Glasses, TSDKAP218-G2, Black, Safety Glasses, PPE",56,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 56 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
72,0.526,DR7004BE,DR7004BE SQ Elect Dryer Bk,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"DR7004BE Dryer, Black",DRYER BLK,9,"Dryer, DR7004BE, Black, Dryers, Large Appliances",48,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 48 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
73,0.526,DV2000WE,DV2000WE SQ Elect Dryer Wh,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"DV2000WE Dryer, White",DRYER WHT,9,"Dryer, DV2000WE, White, Dryers, Large Appliances",48,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 48 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
74,0.526,DC5004WE,DC5004WE SQ Elect Dryer Wh,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"DC5004WE Dryer, White",DRYER WHT,9,"Dryer, DC5004WE, White, Dryers, Large Appliances",48,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 48 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
75,0.526,DC5004BE,DC5004BE SQ Elect Dryer Bk,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"DC5004BE Dryer, Black",DRYER BLK,9,"Dryer, DC5004BE, Black, Dryers, Large Appliances",48,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 48 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
80,0.527,DR5004WG,DR5004WG SQ Gas Dryer Wh,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"DR5004WG Dryer, White, Gas Fuel",DRYER WHT GAS,13,"Dryer, DR5004WG, White, Gas Fuel, Dryers, Large Appliances",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
81,0.527,DR7004BG,DR7004BG SQ Gas Dryer Bk,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"DR7004BG Dryer, Black, Gas Fuel",DRYER BLK GAS,13,"Dryer, DR7004BG, Black, Gas Fuel, Dryers, Large Appliances",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
82,0.527,DR7004WG,DR7004WG SQ Gas Dryer Wh,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"DR7004WG Dryer, White, Gas Fuel",DRYER WHT GAS,13,"Dryer, DR7004WG, White, Gas Fuel, Dryers, Large Appliances",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
83,0.527,DV2000WG,DV2000WG SQ Gas Dryer Wh,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"DV2000WG Dryer, White, Gas Fuel",DRYER WHT GAS,13,"Dryer, DV2000WG, White, Gas Fuel, Dryers, Large Appliances",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
84,0.527,DC5004WG,DC5004WG SQ Gas Dryer Wh,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"DC5004WG Dryer, White, Gas Fuel",DRYER WHT GAS,13,"Dryer, DC5004WG, White, Gas Fuel, Dryers, Large Appliances",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
85,0.527,DC5004BG,DC5004BG SQ Gas Dryer Bk,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"DC5004BG Dryer, Black, Gas Fuel",DRYER BLK GAS,13,"Dryer, DC5004BG, Black, Gas Fuel, Dryers, Large Appliances",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
77,0.535,FF7011WN,FF7011WN Speed Queen Washer Wh,,,Appliances & Consumer Electronics>Laundry Appliances>Washers,"FF7011WN Washer, White",WASHER WHT,10,"Washer, FF7011WN, White, Washers, Large Appliances",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
86,0.535,PTW705BSTWS,PTW705BSTWS GE Washer Wh,,,Appliances & Consumer Electronics>Laundry Appliances>Washers,"PTW705BSTWS Washer, White",WASHER WHT,10,"Washer, PTW705BSTWS, White, Washers, Large Appliances",53,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 53 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
87,0.535,MVWP586GW,MVWP586GW Washer Wh - Display,,,Appliances & Consumer Electronics>Laundry Appliances>Washers,"MVWP586GW Washer, White",WASHER WHT,10,"Washer, MVWP586GW, White, Washers, Large Appliances",51,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 51 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
90,0.535,TR7006WN,TR7006WN Speed Queen Washer Wh,,,Appliances & Consumer Electronics>Laundry Appliances>Washers,"TR7006WN Washer, White",WASHER WHT,10,"Washer, TR7006WN, White, Washers, Large Appliances",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
91,0.535,TR7006BN,TR7006BN Speed Queen Washer Bk,,,Appliances & Consumer Electronics>Laundry Appliances>Washers,"TR7006BN Washer, Black",WASHER BLK,10,"Washer, TR7006BN, Black, Washers, Large Appliances",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
92,0.535,TR5006WN,TR5006WN Speed Queen Washer Wh,,,Appliances & Consumer Electronics>Laundry Appliances>Washers,"TR5006WN Washer, White",WASHER WHT,10,"Washer, TR5006WN, White, Washers, Large Appliances",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
648,0.535,CHP90301TBB,CHP90301TBB Café Cooktop Bk,,,Appliances & Consumer Electronics>Kitchen Appliances>Cooktops,"CHP90301TBB Cooktop, Black",COOKTOP BLK,11,"Cooktop, CHP90301TBB, Black, Cooktops, Large Appliances",55,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 55 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
101,0.535,73019603,Finyline Wh 6' Fl Rail Kit Sq,,,Building Materials & Millwork>Decking & Railing>Railing Systems,"73019603 Railing, 6 ft Nominal Width",RAILING 6FT,11,"Railing, 73019603, 6 ft Nominal Width, Railing Systems, Decking",63,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description | classification was near-tied with Layout & Measuring (margin 0.04)
102,0.535,73019652,Finyline Wh 8' Fl Rail Kit Sq,,,Building Materials & Millwork>Decking & Railing>Railing Systems,"73019652 Railing, 8 ft Nominal Width",RAILING 8FT,11,"Railing, 73019652, 8 ft Nominal Width, Railing Systems, Decking",63,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description | classification was near-tied with Layout & Measuring (margin 0.04)
103,0.535,73019517,Finyline Wh 10' Fl Rail Kit Sq,,,Building Materials & Millwork>Decking & Railing>Railing Systems,"73019517 Railing, 10 ft Nominal Width",RAILING 10FT,12,"Railing, 73019517, 10 ft Nominal Width, Railing Systems, Decking",64,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description | classification was near-tied with Layout & Measuring (margin 0.04)
290,0.535,73019599,Finyline Wh 6' Str Rail Kit Sq,,,Building Materials & Millwork>Decking & Railing>Railing Systems,"73019599 Railing, 6 ft Nominal Width",RAILING 6FT,11,"Railing, 73019599, 6 ft Nominal Width, Railing Systems, Decking",63,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description | classification was near-tied with Layout & Measuring (margin 0.04)
291,0.535,73019648,Finyline Wh 8' Str Rail Kit Sq,,,Building Materials & Millwork>Decking & Railing>Railing Systems,"73019648 Railing, 8 ft Nominal Width",RAILING 8FT,11,"Railing, 73019648, 8 ft Nominal Width, Railing Systems, Decking",63,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description | classification was near-tied with Layout & Measuring (margin 0.04)
653,0.536,JXGRILL1,JXGRILL1 GE Range Grill,,,Appliances & Consumer Electronics>Kitchen Appliances>Ranges,JXGRILL1 Range,RANGE,5,"Range, JXGRILL1, Ranges, Large Appliances",41,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 41 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
71,0.539,DF7004WE,DF7004WE Speed Queen Elect Dryer Wh,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"DF7004WE Dryer, White",DRYER WHT,9,"Dryer, DF7004WE, White, Dryers, Large Appliances",48,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 48 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
698,0.54,40025,40025 TS-54 Wal-Board T-Square 009-008,,,Tools & Equipment>Hand Tools>Layout & Measuring,40025 Measuring Tool,MEASURING TOOL,14,"Measuring Tool, 40025, Layout & Measuring, Hand Tools",53,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 53 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
658,0.54,GDE21EMKES,GDE21EMKES GE 21CF Fridge SL Display Only,,,Appliances & Consumer Electronics>Kitchen Appliances>Refrigerators,GDE21EMKES Refrigerator,REFRIG,6,"Refrigerator, GDE21EMKES, Refrigerators, Large Appliances",57,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 57 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
662,0.54,GNE25JMKES,GNE25JMKES GE Fridge Slate - Display,,,Appliances & Consumer Electronics>Kitchen Appliances>Refrigerators,GNE25JMKES Refrigerator,REFRIG,6,"Refrigerator, GNE25JMKES, Refrigerators, Large Appliances",57,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 57 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
644,0.54,LSEL6333ZE,"LSEL6333ZE LG 30"" Elec Range BS-Display Only",,,Appliances & Consumer Electronics>Kitchen Appliances>Ranges,"LSEL6333ZE Range, 30 in Width",RANGE 30IN,10,"Range, LSEL6333ZE, 30 in Width, Ranges, Large Appliances",56,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 56 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
768,0.541,6008,6008 Whiteside Router Bit,,,Tools & Equipment>Power Tool Accessories>Router Bits,6008 Router Bit,ROUTER BIT,10,"Router Bit, 6008, Router Bits, Power Tool Accessories",53,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 53 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
769,0.541,6009,6009 Whiteside Router Bit,,,Tools & Equipment>Power Tool Accessories>Router Bits,6009 Router Bit,ROUTER BIT,10,"Router Bit, 6009, Router Bits, Power Tool Accessories",53,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 53 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
770,0.541,3000A,3000A Whiteside Router Bit,,,Tools & Equipment>Power Tool Accessories>Router Bits,3000A Router Bit,ROUTER BIT,10,"Router Bit, 3000A, Router Bits, Power Tool Accessories",54,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 54 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
720,0.541,MWUG42010124,UTW Pro Heated Glove Blk XS,,,Safety & Personal Protection>Hand Protection>Work Gloves,"MWUG42010124 Work Gloves, Black",WORK GLOVES BLK,15,"Work Gloves, MWUG42010124, Black, Work Gloves, PPE",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
721,0.541,MWUG42010224,UTW Pro Heated Glove Blk SM,,,Safety & Personal Protection>Hand Protection>Work Gloves,"MWUG42010224 Work Gloves, Black",WORK GLOVES BLK,15,"Work Gloves, MWUG42010224, Black, Work Gloves, PPE",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
722,0.541,MWUG42010324,UTW Pro Heated Glove Blk MD,,,Safety & Personal Protection>Hand Protection>Work Gloves,"MWUG42010324 Work Gloves, Black",WORK GLOVES BLK,15,"Work Gloves, MWUG42010324, Black, Work Gloves, PPE",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
723,0.541,MWUG42010424,UTW Pro Heated Glove Blk LG,,,Safety & Personal Protection>Hand Protection>Work Gloves,"MWUG42010424 Work Gloves, Black",WORK GLOVES BLK,15,"Work Gloves, MWUG42010424, Black, Work Gloves, PPE",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
